id,title,slug,status,deadline,country,country_scope,raw_cover_image,created_at,url,source
fea56348-0b48-4ba9-9627-1ca7021dc07d,Mastercard Foundation Scholars Impress At The 2024 Resolution Social Venture Challenge   01 April 2025,,needs_review,2026-02-10,,,,,,Mastercard Foundation Scholars Program
ed8759ed-4c2d-4d90-ac4f-bb2afb8b3546,"scholarship for women, and person with disability",,published,,,,,,,Australia Awards
ad1ae9ba-b67e-4a23-98a0-85094a3610c7,Announcement,,published,2026-02-20,,,,,,Türkiye Scholarships
bd20482c-5f15-459c-8d5a-d3918761f0a2,"Global Network
						Schwarzman Scholars provides an international network of high-caliber global leaders, academics and innovators who will together serve as a bridge between China and the rest of the world.

							Learn More",,rejected,,,,,,,Schwarzman Scholars
d1a71646-33b6-43e4-930e-5d347966ef91,🎓 The Rhodes Scholarship (University of Oxford),,published,2027-10,,,,,,Rhodes Scholarship
ab7dbe61-53e6-47ea-964a-743f1e6c6ba0,How we select,,needs_review,,,,,,,Gates Cambridge Scholarship
afd97065-2c3b-4443-9e23-058af7aae2fd,How to apply,,needs_review,,,,,,,Gates Cambridge Scholarship
98edf378-125f-43ff-a75e-2c0e7193374d,The scholarship,,published,,,,,,,Gates Cambridge Scholarship
74801640-a12a-4ed7-8b7e-de0d19c2c5b5,Strengthening the Commonwealth through Scholarships and Fellowships,,needs_review,,,,,,,Commonwealth Scholarships
7ad2b29e-49f5-46a3-8583-f9dcd715fe22,"Skills, Networks, and Development Impact: A Contribution Analysis of Commonwealth Scholarships",,needs_review,,,,,,,Commonwealth Scholarships
b3335dd3-aef9-43b5-9114-10deba8b3332,FIND OUT MORE,,needs_review,,,,,,,Commonwealth Scholarships
1d37fb50-6620-46bc-a7b1-0a0b62cd2d0d,FIND OUT MORE,,needs_review,,,,,,,Commonwealth Scholarships
a8c7d3f7-45c8-409e-9699-f73354532194,Research master's courses,,needs_review,,,,,,,Chevening Scholarships
d93d1ae6-adb0-4519-9b02-33fc875a3ded,Who can apply?,,needs_review,,,,,,,Chevening Scholarships
63f942ef-4348-40c9-ac0e-9372718f5c88,Participating countries,,needs_review,,,,,,,Chevening Scholarships
a446f318-484f-490b-93cc-96c770d4ccc8,Chevening ASEAN Scholarships,,needs_review,,,,,,,Chevening Scholarships
17d94a94-05ce-4b89-ba32-05bb60de9634,Participating countries,,needs_review,,,,,,,Chevening Scholarships
ec27fc09-5aa6-413a-8d18-3ae42d826e0e,Chevening SIDS Scholarships,,needs_review,,,,,,,Chevening Scholarships
55e86b83-715c-41fd-a6fd-7e8ce818bb44,Participating countries,,needs_review,,,,,,,Chevening Scholarships
402ceb3b-67e8-40f1-8dd6-1950aa396729,Standard Chevening Scholarships,,needs_review,,,,,,,Chevening Scholarships
d9e0c2b5-d0b2-4d0a-a8c8-c52bf5a4cdbb,INVESTMENT CRITERIA FOR THE RWANDA INNOVATION FUND MANAGED BY ANGAZA CAPITAL,,needs_review,,Rwanda,,,,,Ministry of ICT & Innovation (MINICT)
37161324-40fd-4bb5-b607-90e09aa8ccf2,"The Government of Rwanda, Africa50 and BADEA break ground on the construction of Kigali Innovation City (KIC)",,needs_review,,Rwanda,,,,,Ministry of ICT & Innovation (MINICT)
bde23f95-ae69-47da-b9a1-98e379493017,Rwanda’s Five-Year FinTech Strategy: Advancing Financial Innovation and Inclusion (2024-2029),,needs_review,,Rwanda,,,,,Ministry of ICT & Innovation (MINICT)
97f1e48e-c7bf-4d75-b2ee-bbd754b7200a,Government of Rwanda launches Innovate Rwanda to strengthen the national innovation ecosystem,,needs_review,,Rwanda,,,,,Ministry of ICT & Innovation (MINICT)
119ce0b5-717e-41fd-996c-962ef39d8923,Friends of Rwandan Education — Need-Based Scholarship,,needs_review,,Rwanda,,,,,Friends of Rwandan Education
efc8e229-91b8-47a2-bfcb-f03827c86213,INES-Ruhengeri — Scholarship & Admission Programs,,needs_review,,Rwanda,,,,,INES-Ruhengeri
fb716b15-7a15-4e47-a903-b439456900e3,ULK — Scholarship & Tuition Assistance Opportunities,,needs_review,,Rwanda,,,,,Kigali Independent University (ULK)
716c991b-1fb4-4beb-8194-35ef70de056f,AUCA — Scholarship & Financial Aid Programs,,needs_review,,Rwanda,,,,,Adventist University of Central Africa (AUCA)
7cf73a85-3b3f-4e50-ad6b-fe08606b3ac9,Fees and Payments,,needs_review,,Rwanda,,,,,University of Kigali (UoK)
110eda19-a97f-43f3-abdc-4f719d1d9ef1,Admission Requirements,,needs_review,,Rwanda,,,,,University of Kigali (UoK)
2f8741e7-96be-434d-9b3b-ed8ee07ad463,How to Apply,,needs_review,,Rwanda,,,,,University of Kigali (UoK)
6ae13b30-d657-4da5-9345-0a494536917a,Who can apply?,,needs_review,,,,,,,Chevening Scholarships
093460a5-ed0b-4712-8dab-3bd40cdae588,Participating countries,,needs_review,,,,,,,Chevening Scholarships
f8a117b5-098b-4f45-8458-4cfb3b98004f,Chevening ASEAN Scholarships,,needs_review,,,,,,,Chevening Scholarships
578a327d-30fc-455d-8bdd-98577aef5097,Participating countries,,needs_review,,,,,,,Chevening Scholarships
20379667-6783-416a-9e1d-141d145b61b8,Chevening SIDS Scholarships,,needs_review,,,,,,,Chevening Scholarships
67299113-4811-46a8-8764-91b72d2f9acb,Participating countries,,needs_review,,,,,,,Chevening Scholarships
8131ef1b-fc89-4dc7-bebb-886897ba4bd9,Standard Chevening Scholarships,,needs_review,,,,,,,Chevening Scholarships
c7344dc5-84f1-416d-8164-8b6e3e183858,The Mastercard Foundation Scholars Program At CAMFED Ghana: Celebrating A Decade Of Impact   13 June 2024   Education and Transitions,,needs_review,2026-06-01,,,,,,Mastercard Foundation Scholars Program
6c37b20f-ff4b-4a8d-9898-c9b12629d875,Find your network,,needs_review,,,,,,,Mastercard Foundation Scholars Program
31a908be-58f5-4b2d-bb55-f1ca1b222f96,Explore the series,,needs_review,,,,,,,Mastercard Foundation Scholars Program
288b52cf-5e68-4c3b-a675-dc85a18c9ed5,Where to apply,,needs_review,,,,,,,Mastercard Foundation Scholars Program
1fc4ee12-5bbf-4373-928c-9e5a4806e55b,Share on LinkedIn  (opens in a new tab),,needs_review,,,,,,,Mastercard Foundation Scholars Program
7fd2d74b-1ae1-488c-8355-b1efe285f4fd,Share on X  (opens in a new tab),,needs_review,,,,,,,Mastercard Foundation Scholars Program
c1d70a2f-af4a-4a0a-b92f-9a8091aa6864,Share on Facebook  (opens in a new tab),,needs_review,,,,,,,Mastercard Foundation Scholars Program
5856591a-e90b-45d9-880c-7c41943ec963,INVESTMENT CRITERIA FOR THE RWANDA INNOVATION FUND MANAGED BY ANGAZA CAPITAL,,needs_review,,Rwanda,,,,,Ministry of ICT & Innovation (MINICT)
48071996-34d8-4199-819a-80b350f29053,Rwanda’s Five-Year FinTech Strategy: Advancing Financial Innovation and Inclusion (2024-2029),,needs_review,,Rwanda,,,,,Ministry of ICT & Innovation (MINICT)
6c17bee3-b4ab-443b-8eaa-5b002517dbd3,Government of Rwanda launches Innovate Rwanda to strengthen the national innovation ecosystem,,needs_review,,Rwanda,,,,,Ministry of ICT & Innovation (MINICT)
647eccab-2c31-4c90-8e4e-6a7f988619f9,Friends of Rwandan Education — Need-Based Scholarship,,needs_review,,Rwanda,,,,,Friends of Rwandan Education
8ea34a94-4db2-4165-bc1b-4cf75644edfd,INES-Ruhengeri — Scholarship & Admission Programs,,needs_review,,Rwanda,,,,,INES-Ruhengeri
1aebc1df-60f8-4780-957a-a621bc9930e6,ULK — Scholarship & Tuition Assistance Opportunities,,needs_review,,Rwanda,,,,,Kigali Independent University (ULK)
465693c7-c207-436e-b15d-24fc22cd082b,AUCA — Scholarship & Financial Aid Programs,,needs_review,,Rwanda,,,,,Adventist University of Central Africa (AUCA)
0a75a115-caa9-4526-89d4-0c2f39d9a993,Fees and Payments,,needs_review,,Rwanda,,,,,University of Kigali (UoK)
7e6c578c-fe45-4d06-86bc-aca01c22fdef,Admission Requirements,,needs_review,,Rwanda,,,,,University of Kigali (UoK)
1e2fa61b-4687-42c4-b428-e0312ec1b0e7,How to Apply,,needs_review,,Rwanda,,,,,University of Kigali (UoK)
5d4e9b5d-50df-4fa2-b3f1-42221be31591,AIMS Master's in Mathematical Sciences — Fully Funded Fellowship,,needs_review,,Rwanda,,,,,AIMS Rwanda
9e8116f7-f2af-484f-a50c-91e447c4dcf7,Bridge2Rwanda Isomo Academy — 2026 Applications Open,,needs_review,,Rwanda,,,,,Bridge2Rwanda
246ca3bc-3318-4379-9244-cd600190d3f5,Rwanda Polytechnic — TVET Scholarship Opportunities,,needs_review,,Rwanda,,,,,Rwanda Polytechnic
5cc9ec16-ea2e-4f9f-a256-ffcde3097fe0,UGHE — Global Health Scholarships & Fellowships,,needs_review,,Rwanda,,,,,University of Global Health Equity (UGHE)
4a706871-836a-4810-a749-b20dadf92bb5,Iteme Rwanda Program — Cohort 2026,,needs_review,,Rwanda,,,,,Kepler / MK Scholars
e3ed801b-5899-4468-ac4a-4499ecde1247,ALU Rwanda — Leadership Scholarships & Tuition Waivers,,needs_review,,Rwanda,,,,,African Leadership University Rwanda
aa49f8b6-1193-46e7-ba7e-964ac460b330,Carnegie Mellon University Africa — Tech & Engineering Scholarships,,needs_review,,Rwanda,,,,,CMU-Africa
c3c6f1ec-f45d-44cd-addd-0a62a7bebf79,"Agricultural innovation
		     
			 
          PhD research seeks to transform urban organic waste into sustainable agricultural&nbsp;(…)",,needs_review,,Rwanda,,,,,University of Rwanda
34859a5b-7e79-464e-9522-b71d1bd3bac2,"Water Mgt &amp; Digital Health 
		     
			 
          Three staff earn PhDs, advancing solutions to Rwanda’s health and environmental&nbsp;(…)",,needs_review,,Rwanda,,,,,University of Rwanda
9ea759bf-cbff-481f-8fb7-bcc245f4fc86,UR earns Mastercard Foundation grant in recognition of excellence in health education and&nbsp;(…),,needs_review,,Rwanda,,,,,University of Rwanda
